survey	recording_givid	user_reference	var	var_code	value	value_numeric	is_below_LOQ	is_above_LOQ	is_numeric	unit
HT3260	IV2016112910214756	Renne_03_20160727	artificiële structuren	artif	buizen (drainage, overstort)	NA	0	0	0	class
HT3260	IV2016112910214756	Renne_03_20160727	beheer	beh	volledig maaien watervegetatie	NA	0	0	0	class
HT3260	IV2016112910214756	Renne_03_20160727	breedte	Breed	1.4	1.4	0	0	1	m
HT3260	IV2016112910214756	Renne_03_20160727	diepte	Diep	0.15	0.15	0	0	1	m
HT3260	IV2016112910214756	Renne_03_20160727	dominant oeverprofiel lo	profl	natuurlijk: vanaf 45°	NA	0	0	0	class
HT3260	IV2016112910214756	Renne_03_20160727	dominant oeverprofiel ro	profr	natuurlijk: vanaf 45°	NA	0	0	0	class
HT3260	IV2016112910214756	Renne_03_20160727	grof organisch materiaal	orgma	bladeren	NA	0	0	0	class
HT3260	IV2016112910214756	Renne_03_20160727	grootte grootste vlek	MaxGr	0	0	0	0	1	m²
HT3260	IV2016112910214756	Renne_03_20160727	helderheid van de waterkolom	turbi	bodemzicht	NA	0	0	0	class
HT3260	IV2016112910214756	Renne_03_20160727	lengte	Lang	100	100	0	0	1	m
HT3260	IV2016112910214756	Renne_03_20160727	manier waarop de opname gemaakt is	wijze	wadend	NA	0	0	0	class
HT3260	IV2016112910214756	Renne_03_20160727	schaduw boom en struik	schab	0	0	0	0	1	%
HT3260	IV2016112910214756	Renne_03_20160727	schaduw oevervegetatie	schao	0	0	0	0	1	%
HT3260	IV2016112910214756	Renne_03_20160727	som van vlekken	Som	0	0	0	0	1	m²
HT3260	IV2016112910214756	Renne_03_20160727	submerse vegetatie frequent	sv_2	5	5	0	0	1	%
HT3260	IV2016112910214756	Renne_03_20160727	submerse vegetatie schaars	sv_1	95	95	0	0	1	%
HT3260	IV2016112910214756	Renne_03_20160727	totale bedekking	TOT	7	7	0	0	1	%
HT3260	IV2016112910214756	Renne_03_20160727	verstoring eutrofiëringsindicatoren	veui	5	5	0	0	1	%
HT3260	IV2016112910214756	Renne_03_20160727	verstoring helofyten	vhel	1	1	0	0	1	%
HT3260	IV2016112910214756	Renne_03_20160727	verstoring invasieve exoten	viex	0.5	0.5	0	0	1	%
HT3260	IV2016112910214756	Renne_03_20160727	waterpeil	peil	uitzonderlijk laag	NA	0	0	0	class
HT3260	IV2016112910413574	Renne_04_20160727	artificiële structuren	artif	geen artificiele structuur	NA	0	0	0	class
HT3260	IV2016112910413574	Renne_04_20160727	beheer	beh	volledig maaien watervegetatie	NA	0	0	0	class
HT3260	IV2016112910413574	Renne_04_20160727	breedte	Breed	1.2	1.2	0	0	1	m
HT3260	IV2016112910413574	Renne_04_20160727	diepte	Diep	.1	0.1	0	0	1	m
HT3260	IV2016112910413574	Renne_04_20160727	dominant oeverprofiel lo	profl	natuurlijk: vanaf 45°	NA	0	0	0	class
HT3260	IV2016112910413574	Renne_04_20160727	dominant oeverprofiel ro	profr	natuurlijk: vanaf 45°	NA	0	0	0	class
HT3260	IV2016112910413574	Renne_04_20160727	grof organisch materiaal	orgma	bladeren	NA	0	0	0	class
HT3260	IV2016112910413574	Renne_04_20160727	grootte grootste vlek	MaxGr	0	0	0	0	1	m²
HT3260	IV2016112910413574	Renne_04_20160727	helderheid van de waterkolom	turbi	bodemzicht	NA	0	0	0	class
HT3260	IV2016112910413574	Renne_04_20160727	lengte	Lang	100	100	0	0	1	m
HT3260	IV2016112910413574	Renne_04_20160727	schaduw boom en struik	schab	0	0	0	0	1	%
HT3260	IV2016112910413574	Renne_04_20160727	schaduw oevervegetatie	schao	0	0	0	0	1	%
HT3260	IV2016112910413574	Renne_04_20160727	slibdikte	Slib	0	0	0	0	1	m
HT3260	IV2016112910413574	Renne_04_20160727	som van vlekken	Som	0	0	0	0	1	m²
HT3260	IV2016112910413574	Renne_04_20160727	submerse vegetatie schaars	sv_1	100	100	0	0	1	%
HT3260	IV2016112910413574	Renne_04_20160727	totale bedekking	TOT	7	7	0	0	1	%
HT3260	IV2016112910413574	Renne_04_20160727	verstoring eutrofiëringsindicatoren	veui	5	5	0	0	1	%
HT3260	IV2016112910413574	Renne_04_20160727	verstoring helofyten	vhel	0.5	0.5	0	0	1	%
HT3260	IV2016112910413574	Renne_04_20160727	verstoring invasieve exoten	viex	0.5	0.5	0	0	1	%
HT3260	IV2016112910413574	Renne_04_20160727	waterpeil	peil	uitzonderlijk laag	NA	0	0	0	class
HT3260	IV2016120512144485	DesNe_02_20160804	waterpeil	peil	uitzonderlijk hoog	NA	0	0	0	class
HT3260	IV2016120512445956	DesNe_02_20160826	artificiële structuren	artif	geen artificiele structuur	NA	0	0	0	class
HT3260	IV2016120512445956	DesNe_02_20160826	beheer	beh	geen beheer gekend	NA	0	0	0	class
HT3260	IV2016120512445956	DesNe_02_20160826	breedte	Breed	4	4	0	0	1	m
HT3260	IV2016120512445956	DesNe_02_20160826	diepte	Diep	0.7	0.7	0	0	1	m
HT3260	IV2016120512445956	DesNe_02_20160826	dominant oeverprofiel lo	profl	natuurlijk: minder dan 45°	NA	0	0	0	class
HT3260	IV2016120512445956	DesNe_02_20160826	dominant oeverprofiel ro	profr	natuurlijk: minder dan 45°	NA	0	0	0	class
HT3260	IV2016120512445956	DesNe_02_20160826	grof organisch materiaal	orgma	bladeren	NA	0	0	0	class
HT3260	IV2016120512445956	DesNe_02_20160826	grof organisch materiaal	orgma	takken	NA	0	0	0	class
HT3260	IV2016120512445956	DesNe_02_20160826	grof organisch materiaal	orgma	twijgjes	NA	0	0	0	class
HT3260	IV2016120512445956	DesNe_02_20160826	grootte grootste vlek	MaxGr	0.25	0.25	0	0	1	m²
HT3260	IV2016120512445956	DesNe_02_20160826	helderheid van de waterkolom	turbi	bodemzicht	NA	0	0	0	class
HT3260	IV2016120512445956	DesNe_02_20160826	lengte	Lang	100	100	0	0	1	m
HT3260	IV2016120512445956	DesNe_02_20160826	manier waarop de opname gemaakt is	wijze	wadend	NA	0	0	0	class
HT3260	IV2016120512445956	DesNe_02_20160826	schaduw boom en struik	schab	1	1	0	0	1	%
HT3260	IV2016120512445956	DesNe_02_20160826	schaduw oevervegetatie	schao	1	1	0	0	1	%
HT3260	IV2016120512445956	DesNe_02_20160826	slibdikte	Slib	0	0	0	0	1	m
